Artist,Genre,Start,End
Bad Bunny (Coachella),hip hop,11:25,11;59
Maceo Plex (Yuma),edm,11:15,11:59
Metro Boomin (Sahara),rap,10:35,11:59
FKJ (Mojave),edm,10:35,11:59
Ashnikko (Gobi),pop,10:35,11:59
The Chemical Brothers (Outdoor),edm,9:50,11:59
Testpilot (Yuma),edm,9:45,11:15
Uncle Waffles (Sonora),edm,9:30,10:30
Whyte Fang (Gobi),edm,9:25,10:15
Two Friends (Sahara),pop,9:20,10:05
Angèle (Mojave),indie,9:10,10:05
Gorillaz (Coachella),indie ,8:35,9:50
The Garden (Gobi),indie,8:15,9:00
Mochakk (Yuma),hip hop,8:15,9:45
Jamie Jones (Sahara),country,8:05,8:55
Sasha Alex Sloan (Sonora),pop,7:40,8:20
Blondie (Mojave),rock,7:35,8:35
Kaytranada (Outdoor),edm,7:30,8:15
Burna Boy (Coachella),hip hop,7:05,7:55
Yves Tumor (Gobi),indie,7:05,7:50
Blink-182 (Sahara),rock,6:45,7:35
Idris Elba (Yuma),edm,6:45,8:15
SG Lewis (Outdoor),edm,6:10,7:00
Wet Leg (Mojave),indie,6:00,6:45
TV Girl (Sonora),indie,5:55,6:40
Tobe Nwigwe (Gobi),hip hop,5:45,6:35
Becky G (Coachella),hip hop,5:45,6:30
Nora En Pure (Yuma),edm,5:30,6:45
Vintage Culture (Sahara),edm,5:20,6:15
Yungblud (Outdoor),indie,4:55,5:40
Muna (Mojave),indie,4:50,5:35
Magdalena Bay (Sonora),pop,4:50,5:35
Pusha T (Coachella),rap,4:30,5:15
Overmono (Gobi),edm,4:25,5:15
Malaa (Sahara),edm,4:15,5:10
Dennis Cruz + Paw$a (Yuma),edm,4:15,5:30
Benee (Mojave),pop,3:45,4:25
Saba (Outdoor),rap,3:45,4:25
DannyLux  (Sonora),hip hop,3:40,4:10
Doechii (Coachella),rap,3:30,4:10
Gabriels (Gobi),hip hop,3:20,4:05
Dombresky (Sahara),r&b,3:10,4:05
Oliver Koletzki (Yuma),edm,3:00,4:15
Soul Glo (Sonora),indie,2:55,3:25
Record Safari (Coachella),hip hop,2:50,3:25
Domi & JD Beck (Mojave),r&b,2:40,3:20
The Comet Is Coming (Outdoor),edm,2:30,3:15
¿Téo? (Gobi),pop,2:20,2:55
Lava La Rue (Sonora),indie,2:00,2:35
Kyle Watson (Yuma),edm,2:00,3:00
Mary Jane (Sahara),r&b,1:45,3:00
Lewis OfMan (Mojave),edm,1:40,2:15
Jupiter & Okwess (Gobi),r&b,1:20,2:00
The Murder Capital (Sonora),indie,1:10,1:40
Chris Stussy (Suma),r&b,1:00,2:00
Juicewon (Outdoor),rock,1:00,2:20
Black Jade (Mojave),hip hop,12:30,1:30
Juliet Mendoza (Yuma),edm,12:00,1:00
Jim Smith (Sonora),rock,12:00,1:10
