Artist,Genre,Start,End
Frank Ocean (Coachella),r&b,10:05,11:05
Boris Brejcha (Sahara),edm,11:20,11:59
Gordo (Yuma),rap,10:30,11:30
DPR Live + DPR Ian (Gobi),hip hop,9:20,10:20
Sudan Archives (Outdoor),r&b,9:10,10:10
A Boogie Wit da Hoodie (Sahara),rap,9:05,10:30
Adam Beyer (Yuma),edm,9:00,10:30
The Blaze (Mojave),indie,8:55,9:55
Fisher + Chris Lake  (Outdoor),edm,8:40,9:40
Drama (Gobi),pop,8:15,8:55
Knocked Loose (Outdoor),rock,8:10,8:50
Willow (Mojave),indie,7:45,8:30
Jai Wolf (Sahara),edm,7:45,8:40
Camelphat (Yuma),edm,7:30,9:00
Bj�rk (Coachella),indie,7:25,8:40
Mareux (Outdoor),indie,7:15,7:50
Cannons (Gobi),indie,7:10,7:50
Dominic Fike (Outdoor),indie,6:50,7:40
Jackson Wang (Sahara),pop,6:45,7:30
Christine and the Queens (Mojave),indie,6:25,7:15
Alex G (Sonora),indie,6:00,6:45
Kali Uchis (Coachella),r&b,6:00,6:50
L�ren (Sahara),hip hop,6:00,6:20
Sasha & John Digweed (Yuma),edm,6:00,7:30
2ManyDJs (Gobi),indie,5:55,6:45
Rae Sremmurd (Outdoor),hip hop,5:40,6:25
Weyes Blood (Mojave),indie,5:15,6:00
Momma (Outdoor),indie,5:05,5:40
Latto (Sahara),pop,5:00,5:40
Romy (Gobi),edm,4:45,5:30
Porter Robinson (Coachella),pop,4:45,5:35
Cassian (Yuma),edm,4:30,6:00
Big Wild (Outdoor),edm,4:15,5:15
Noname (Mojave),hip hop,4:10,4:50
MK (Sahara),edm,4:00,4:50
Sleaford Mods (Outdoor),indie,4:00,4:40
Foushe� (Gobi),r&b,3:40,4:20
Glorilla (Coachella),rap,3:40,4:20
IDK (Mojave),edm,3:05,3:45
Stick Figure (Outdoor),r&b,3:00,3:45
TSHA (Yuma),edm,3:00,4:30
El Michels Affair (Outdoor),r&b,2:55,3:35
Pi�erre Bourne (Sahara),hip hop,2:50,3:30
Joy Crookes (Gobi),r&b,2:45,3:20
Los Fabulosos Cadillacs (Coachella),rock,2:30,3:15
Paris Texas (Mojave),indie,2:05,2:45
LP Giobbi (Yuma),edm,2:00,3:00
Los Bitchos (Outdoor),indie,1:55,2:30
Ali Sethi (Gobi),country,1:50,2:25
Loboman (Sahara),rock,1:25,2:40
Connexi�n Divina (Outdoor),rock,1:00,1:30
Airrica (Yuma),edm,1:00,2:00
"DJ Lil Buddha" (Mojave),edm,12:45,1:55
Gingee (Gobi),hip hop,12:30,1:40
Minus the Light (Yuma),edm,12:00,1:00
